5203.89,1408.86,7,
4806.19,1361.93,7,
5162.40,1569.32,7,
5036.73,1856.25,7,
4764.96,1848.83,7,
4874,1615,7,
4380.79,2216.13,7,
4052.30,1778,7,
4506.19,1737.31,7,
4274,1906,7,
3359.25,1498.85,7,
2956.58,1368.90,7,
3233,924,7,
3233,1240,7,
2843.02,1080.66,7,
2832,1621.13,7,
2400.00,1255.62,7,
2672,1344,7,
866.51,2026.09,7,
1192.20,1838.16,7,
1422.54,1960.05,7,
1284.70,2376.58,7,
972.64,2313.49,7,
1152,2092,7,
3761.47,1543.74,7,
3837.93,1827.12,7,
3537.66,2003.64,7,
3258.16,1861.36,7,
3261.10,1578.73,7,
3524,1743,7,
887.18,1445.71,7,
1392.29,1210.17,7,
1178,1731,7,
1178,1410,7,
2812.73,2321.96,7,
2973.50,1857.38,7,
3261.62,2202.22,7,
2988,2134,7,
4346.63,914.46,7,
4637.25,893.19,7,
4803.04,1075.48,7,
4749.42,1338.42,7,
4320.92,1279.00,7,
4538,1127,7,
4699.03,1795.06,5,
5000.58,1925.80,5,
4993.88,2367.66,5,
4546.16,2367.30,5,
4447.73,2085.97,5,
4762,2119,5,
1754.03,1518.28,4,
1492.44,1374.82,4,
1730.10,988.72,4,
2031.18,1086.32,4,
2112.59,1314.78,4,
1793,1241,4,
1529.82,2028.04,3,
1876.36,1790.55,3,
2033.60,2082.24,3,
2006.74,2286.93,3,
1597.38,2341.46,3,
1779,2109,3,
3791.39,1041.82,2,
4139.83,1457.78,2,
3544.65,1417.62,2,
3860,1339,2,
2054.64,1692.33,1,
2455.26,1543.77,1,
2617.77,1697.50,1,
2421.30,2105.38,1,
2170.37,2114.60,1,
2322,1817,1,
3771.60,2409.72,0,
3651.23,2074.88,0,
4014.83,1919.98,0,
4162.92,2348.42,0,
3939,2203,0,
