1747,1628,7,
2088,2099,7,
1801,2202,7,
1652,1934,7,
1792,1669,7,
1910,1921,7,
3411,1594,7,
3106,1079,7,
3658,1142,7,
3363,1287,7,
4675,1426,7,
4370,1553,7,
4150,1255,7,
4482,951,7,
4791,1208,7,
4493,1250,7,
3979,2060,7,
3643,2204,7,
3482,2009,7,
3617,1721,7,
3994,1785,7,
3767,1928,7,
2600,1752,7,
2953,1296,7,
2960,1861,7,
2844,1541,7,
4935,2330,7,
4454,2526,7,
4427,2096,7,
4631,2255,7,
1871,1271,7,
2240,901,7,
2484,1323,7,
2164,1188,7,
2529,1499,7,
2565,1043,7,
2929,1040,7,
3018,1357,7,
2717,1277,7,
887,1983,7,
1247,1873,7,
1213,2511,7,
849,2392,7,
810,2097,7,
1126,2206,7,
1317,1959,5,
960,1714,5,
1200,1298,5,
1567,1688,5,
1224,1634,5,
3020,1781,4,
3496,1708,4,
3460,2155,4,
3036,2036,4,
3295,1910,4,
1483,1948,3,
1835,2320,3,
1440,2474,3,
1566,2238,3,
1971,1674,2,
2073,1481,2,
2534,1603,2,
2498,1937,2,
2160,1997,2,
2254,1740,2,
4889,1959,1,
4424,1731,1,
4918,1524,1,
4672,1771,1,
4131,1340,0,
3926,1556,0,
3612,1426,0,
3797,931,0,
3888,1247,0,
